country,MealInexpensive,Meal2People,McMeal,BeerDomesticRestaurant,BeerImportedRestaurant,Cappucino,Coke,Water,Milk,Bread,Rice,Eggs,Cheese,Chicken,Beef,Apples,Banana,Oranges,Tomato,Potato,Onion,Lettuce,Water,Wine,BeerDomesticMarket,BeerImportedMarket,Cigarettes,LocalTransport1Way,MonthlyPass,TaxiStart,Taxi1km,Taxi1hrWaiting,Gasoline,CarVolkswagenGolf,CarToyotaCorolla,Utility,PrepaidMobile,InternetAndMobile,FitnessClub,TennisCourtRent,Cinema,Preschool,PrimarySchool,Jeans,SummerDress,NikeRunningShoes,LeatherBusinessShoes,Apt1BedroomCityCtr,Apt1BedroomNoCityCtr,Apt3BedroomCityCtr,Apt3BedroomNoCityCtr,PricePerSqMtCityCtr,PricePerSqMtNoCityCtr,AvgMonthlyNetSalary,MortgageInterest,data_quality
Colombia,2.418461538,14.4924,4.5984,0.9068,1.498333333,1.081666667,0.5408,0.427916667,0.782608696,0.678846154,0.597692308,1.4275,2.508846154,2.8336,3.695769231,1.5684,0.587083333,0.7212,0.764,0.553076923,0.606538462,0.490769231,0.506153846,5.718846154,0.638461538,1.020384615,1.512608696,0.503333333,22.04947368,1.078461538,1.1192,3.921153846,0.504615385,12002.7375,14994.1516,48.86653846,0.04,22.04192308,16.0424,9.313888889,2.836,92.83083333,2435.500952,35.76807692,22.48192308,49.5744,39.09833333,171.03,152.7915789,299.3104348,271.2655556,1556.236111,1334.543889,270.8495652,11.65916667,0.307692308
Comoros,,,,,,,,,,0.21,0.42,2.39,,2.29,5.19,6.23,0.46,0.52,1.04,1.04,2.08,1.56,0.62,7.79,,3.12,1.56,,,,,,,,,,,,31.91,,,,,,,,,,,,,,,,,0
Cook Islands,9.32,49.71,9.32,3.57,4.19,3.73,2.33,1.55,1.86,3.67,1.86,5.28,12.43,8.7,11.18,3.11,1.86,3.73,9.94,3.11,2.49,2.49,3.11,15.53,,4.66,,,,,,,,,,124.26,0.62,,,,,,,69.59,,,76.42,161.54,161.54,236.1,236.1,5350.27,528.12,,,0
Costa Rica,6.15,35.25,7.255,2.14,3.12,2.58,1.365,1.165,1.23,1.415,1.135,2.325,8.155,7.97,10.19,3.67,1.16,3.07,1.795,1.8,1.765,0.795,1.96,12.095,1.785,2.295,3.885,0.9,49.515,1.045,1.055,6.23,1.16,24939.59,25510.18,55.07,0.065,48.175,40.51,30.335,5.74,320.83,5606.795,51.625,36.725,95.635,76.655,372.445,273.15,692.635,566.385,1318.87,1027.545,796.915,11.865,1
Croatia,7.618636364,34.42818182,5.527727273,2.313181818,2.550909091,1.51,1.91,1.365454545,0.949545455,0.994545455,1.74952381,2.260454545,7.895238095,7.535238095,9.603333333,1.218095238,1.403333333,1.378571429,1.768571429,0.707142857,0.740952381,0.88047619,1.002857143,5.163809524,1.247142857,1.582857143,4.382857143,1.473333333,34.986,2.505714286,0.767619048,6.418333333,1.520909091,21777.0795,21896.96842,152.6268182,0.106,23.56238095,35.575,10.03352941,4.760454545,124.6759091,3786.677692,64.44227273,30.57619048,66.76409091,69.94045455,332.8011111,255.4915789,555.5522222,429.1583333,2318.55875,1722.67125,861.2306667,3.924285714,0.318181818
Cuba,7.388888889,26.95555556,6.142857143,2.422222222,2.381111111,1.69375,1.846666667,1.123333333,3.566666667,1.02875,1.411111111,1.936666667,5.024444444,6.131111111,9.576666667,7.473333333,0.802222222,1.044444444,1.426666667,1.6,2.217777778,0.63125,1.294444444,7,2.075,1.815555556,3.611111111,0.3,20,1,0.6,15,1.283333333,75000,72083.33333,31.08333333,0.21875,148,12.55666667,9.375,1.075,70,15166.67,46.94444444,39.62777778,68.42777778,55.67777778,276.665,222.5,1112.5,730,490.89,268.23,189.7916667,5.73,0.111111111
Cyprus,13.5,49.33428571,7.142857143,3.144285714,3.635714286,3.204285714,1.725714286,0.845714286,1.531428571,1.52,2,2.8,8.935714286,6.9,9.505714286,2.09,1.478571429,1.488571429,2.248571429,0.934285714,0.845714286,0.568571429,0.787142857,6.097142857,1.211428571,2.027142857,4.702857143,1.733333333,41.55,6.177142857,1.188571429,20.77285714,1.53,20800.71143,20830.81571,148.4814286,0.12,32.94857143,52.638,24.964,9.275714286,307.8914286,5715.25,71.68,35.22,80.45857143,95.67285714,643.9257143,506.7771429,1174.184286,980.67,1935.684,1384.202,1417.205714,2.73,0.571428571
Denmark,17.354,85.896,11.146,6.758,5.797,5.028,3.387,2.687,1.538,2.587,2.154,3.884,10.315,10.232,13.872,2.83,2.888,3.029,3.449,1.755,1.53,1.675,1.275,8.869,1.687,2.207,7.904,3.78625,74.02375,6.507,1.881,61.555,2.078,37927.093,38826.076,174.635,0.115,33.748,34.79625,26.85,14.82,398.762,5382.613,88.871,40.38,94.265,138.907,961.434,692.426,1649.314,1214.393333,4279.115,3003.775,3130.0225,1.676,0.5
Djibouti,9.17,66.68,8.89,5.56,6.95,1.88,0.665,0.94,3.06,2.22,1.85,3.45,19.82,10.09,9.45,3.89,1.67,2.22,1.67,1.25,1.43,,0.74,7.78,2.22,3.33,1.39,0.42,305.62,2.78,2.78,16.67,1.43,11668.99,11113.33,319.155,0.17,36.86,63.35,19.45,13.89,138.92,6149.37,20.74,24.08,59.27,61.12,805.72,570.36,1847.59,590.4,1583.65,1027.98,513.99,5,0
Dominica,5.55,60,5.55,1.85,1.85,2.48,1.57,1.49,5,2.13,1.34,4.44,11.1,4.63,8.14,8.3,2.96,4.44,6.66,3.98,2.22,1.79,1.91,8.51,1.99,1.85,7.4,1.3,14.8,7.4,2.3,92.51,1.14,24051.36,25901.46,46.25,0.32,64.75,62.9,37,9.25,141.84,,67.07,37.93,148.01,127.19,345.2,235.89,1202.57,790.92,120.26,48.01,487.69,25,0
Dominican Republic,5.75,39.32833333,6.805833333,2.7275,3.981666667,2.155,1.21,0.712727273,1.230833333,1.753333333,1.341666667,1.880833333,8.84,5.013333333,6.89,2.281666667,0.862727273,2.313333333,1.668333333,1.1675,2.163333333,0.849166667,0.795,7.909090909,2.193333333,2.984166667,4.673333333,0.883333333,33.68666667,4.7475,2.275833333,4.18375,1.215833333,23779.81333,28095.1,68.12272727,0.191,52.36666667,28.486,17.985,5.188181818,215.18875,4674.568,45.42,81.26181818,77.09444444,81.26222222,331.68125,211.5977778,543.49,468.4728571,1082.916667,636.8075,340.1657143,10.333,0.076923077
Ecuador,3.273076923,29.11538462,5.958333333,2.192307692,3.399230769,2.245384615,0.786923077,0.6,0.974166667,1.629166667,1.425384615,1.99,4.520833333,5.368181818,6.1025,2.013333333,0.98,0.9625,1.106363636,0.96,1.040833333,0.607272727,1.088181818,8,1.448181818,2.306666667,5.24,0.331111111,20.414,1.545454545,1.547272727,10,0.69,22998,27550,48.51416667,0.124166667,40.14538462,34.63333333,17.098,5.381,197.7916667,6623.951111,51.10916667,47.21272727,96.8325,77.53181818,334.3571429,238.55375,594.8625,426.1077778,1205.668333,945.2583333,525.7844444,9.948,0.230769231
Egypt,3.004761905,13.08142857,3.382857143,1.338421053,2.071578947,1.10047619,0.256190476,0.15,0.655714286,0.391,0.567619048,1.1,2.282380952,3.2685,6.618,0.9485,0.5675,0.395,0.3195,0.3075,0.247,0.196190476,0.238571429,7.621052632,1.125263158,1.748888889,1.87,0.163333333,7.631333333,0.392,0.2595,1.1055,0.322857143,17760.89833,16390.2005,26.548,0.014285714,12.4055,15.74,6.034666667,3.325555556,51.43368421,1626.928421,18.84894737,29.61,83.05157895,29.321,108.798125,64.02533333,199.038125,128.7375,457.449,261.7357895,144.7066667,12.36,0.19047619
El Salvador,4.05,21.45,6.375,1.375,2.55,2.95,0.67,0.565,2.2,2.12,1.535,1.8,7.145,3.45,9.97,3.14,1.6,2.1,2.485,2.375,2.095,1.08,1.06,12.25,1.25,2.1,3.81,0.25,,6.5,3.05,3,0.985,18000,21383.68,57.26,0.165,39.25,31.67,22.5,4.25,68.75,2753.33,46.25,36.5,85.385,116.925,633.33,483.33,966.67,750,1068,975,380,14.17,0
Equatorial Guinea,12.67,43.545,19.79,1.78,4.195,4.38,0.985,0.99,2.005,2.84,2.345,1.845,8.71,5.465,6.135,5.805,2.175,5.145,3.165,3.685,3.365,0.865,1.54,4.75,,0.515,1.9,1.58,43.66,0.71,0.71,6.33,0.925,21733.31,31758.35,45.92,0.33,237.525,82.475,27.62,7.16,67.3,1718.48,45.525,73.9,226.965,106.885,277.11,154.39,613.6,336.49,,,316.7,,0
Eritrea,11.4,20,2.67,1,2,1.06,1.56,1.57,1.45,0.5,1.87,4.8,,,10,4.33,1,1.89,1.44,1.56,1,0.67,1.58,,1,1.33,2.5,0.22,,0.67,0.67,6.67,2.17,,,30,0.1,,,10,1,25,750,30,30,,40,650,600,850,750,1038.2,1337.96,1060,,0
Estonia,7.355833333,45.56,6.005833333,3.8925,3.548333333,2.486363636,1.632727273,1.143636364,0.745833333,0.7575,1.4625,1.649166667,7.091666667,5.109166667,11.72666667,1.400833333,1.152727273,1.765833333,1.79,0.7075,0.771666667,1.348333333,0.82,8.006666667,1.42,1.792727273,5.06,0.872222222,11.98444444,2.485833333,0.818333333,15.27,1.64,20313.22833,19657.04583,204.5058333,0.055,23.19583333,40.97090909,23.13888889,6.196666667,119.411,10332.84083,83.13,28.881,70.25909091,94.275,300.4781818,237.4445455,533.3945455,430.757,1729.61125,1324.738571,1061.615455,2.405833333,0.166666667
Ethiopia,5.16,20.646,3.84,0.77,1.1375,0.69,0.49,0.308,0.855,0.83,1.79,1.9975,7.1275,7.6325,8.0275,3.6175,0.84,1.5675,0.7275,0.56,0.81,0.485,0.4675,7.7975,0.9375,1.2275,2.55,0.1925,9.375,1.46,0.925,4.666666667,0.68,34000,35065.23667,164.165,0.015,234.39,43.0625,20,2.8375,102.825,21777.78,23.615,49.705,53.2775,36.9725,417.9725,223.25,1764.363333,618.525,1053.59,697,214.7366667,15.27,0.166666667
Faroe Islands,20.7825,106.4975,13.62,5.8625,6.0725,3.98,3.135,2.34,1.77,3.803333333,2.14,3.72,13.04,8.38,9.78,2.95,2.813333333,3.103333333,3.35,1.166666667,3.256666667,2.79,2.19,12.57,2.89,2.89,9.08,0,0,8.38,,,1.493333333,37431.30333,42831.84,163.3166667,,46.56,52.845,13.97,13.97,300.285,1041.01,93.11,41.9,117.9466667,148.98,607.6833333,593.595,1301.405,1044.653333,3072.72,1369.87,3267.33,3.063333333,0
Fiji,3.75,33.76,6.45,2.513333333,3.75,2.68,1.05,0.84,1.21,0.433333333,0.986666667,2.593333333,9.05,5.333333333,5.24,2.446666667,2.016666667,2.046666667,1.75,1.026666667,0.963333333,0.94,0.62,8.4,1.696666667,2.373333333,7.5,0.75,29.06666667,0.716666667,0.523333333,4.14,1.246666667,18003.42,19634.98,52.59666667,0.133333333,25.03333333,20.19,3.6,3.6,166.8333333,6326.2,17.75333333,19.13,57.74,63.76333333,361.9433333,195.7633333,870.1666667,468.3033333,2475.47,1327.75,1221.49,5.87,0.333333333
Finland,12.55592593,77.10666667,8.683333333,6.241481481,6.23037037,3.873703704,2.397037037,1.624814815,0.957037037,2.027037037,1.987407407,2.374444444,6.907777778,9.894074074,15.31692308,2.131111111,1.738518519,2.033703704,3.44962963,1.074074074,1.491111111,1.816296296,1.425185185,12.4444,2.458846154,2.953846154,9.080384615,3.337037037,56.87814815,6.689259259,1.593703704,50.68,2.304615385,26336.79385,27262.28,131.2237037,0.073333333,22.59259259,38.19148148,24.52695652,14.04777778,310.7856,6016.048571,82.92115385,38.19423077,75.19333333,105.9257692,701.9176,575.4286957,1140.4892,866.3336,3533.04375,2249.026818,2582.625,1.356296296,0.222222222
France,15.4904,55.16101124,9.252916667,5.846,4.802045455,2.684315789,2.612359551,1.763406593,1.053854167,1.636526316,2.036458333,3.100721649,15.55722892,10.31622222,16.94810127,2.774148936,2.090425532,2.676847826,3.108842105,1.89673913,2.255425532,1.27,0.795869565,7.307446809,2.135365854,2.474605263,10.43408602,1.701595745,50.99564516,3.030789474,1.780526316,26.81114286,2.030941176,24621.14471,25311.185,163.765,0.173666667,29.52423913,36.90435294,15.2996,10.42122449,604.8370769,10445.42143,79.04391304,35.86322222,84.83141304,112.1568817,716.7307595,587.7710959,1344.846269,1045.51493,4893.732025,3906.091467,2399.010952,1.571891892,0.122807018
French Guiana,12.46,51.93,9.22,2.6,4.15,2.6,1.56,1.21,1.3,1.25,2.08,2.73,25.97,12.98,17.66,4.15,2.99,3.12,9.18,5.19,4.12,2.08,1.56,6.75,2.07,3.12,6.23,2.34,,10.39,2.6,,1.75,,,193.37,,68.38,41.5,,9.87,830.96,1038.7,51.93,31.16,114.26,103.87,766.04,709.78,1311.35,1428.21,2648.68,2492.87,2077.39,1.6,0
French Polynesia,15.67,52.23,11.27,5.22,2.61,3.42,2.43,1.04,2.5,2.27,1.9,4.64,10.86,12.62,15.67,3.65,2.45,6.94,4.84,4.83,2.22,2.96,1.42,16.45,2,2.61,15.52,0.96,26.11,13.06,1.13,21.76,1.23,22631.13,27853.7,188.59,0.17,95.17,71.81,,13.06,,870.43,71.08,58.03,81.24,107.35,899.44,638.31,2466.21,1827.9,8704.28,4419.66,1407.19,,0
Gabon,15.01,79.17,11.48,0.87,1.58,2.38,0.79,0.67,1.91,1.49,1.64,2.85,8.71,9.82,3.01,2.53,2.48,4.91,1.9,1.69,2.9,1.13,0.99,5.15,0.95,1.85,1.98,0.55,51.46,0.79,1.58,7.92,1.02,28502.71,24807.91,105.57,0.21,59.38,67.3,15.83,7.92,108.86,3562.84,37.61,60.7,61.76,82.34,851.12,464.49,2797.49,1689.05,13459.61,15834.84,455.25,22.67,0
Georgia,8.1875,29.29125,5.81125,1.34125,1.86875,2.005,0.69375,0.33875,1.55625,0.57,1.83875,2.1675,6.00125,5.3025,8.24875,1.1575,1.56625,1.435,1.3125,0.69875,0.63375,1.215,0.545,5.30875,1.14,1.6175,2.7225,0.2075,11.07,1.05625,0.46625,3.92125,1.2575,16420.66375,18923.74,74.27875,0.06125,16.495,35.98,15.025,5.745,163.2825,3569.141429,55.6775,36.54,98.45375,101.35875,370.31,282.9375,628.366,618.31,1295.966667,765.43,397.36,12.2275,0.25
Germany,11.60214286,52.40785714,8.628571429,3.760143885,3.511751825,2.989280576,2.440863309,2.170647482,0.983263889,1.818074074,1.978417266,2.612269504,12.10663866,7.518905109,15.02511811,2.534604317,1.703521127,2.211666667,1.298046875,1.535909091,1.07104,1.222519084,0.568425197,5.236884058,0.682713178,1.395114504,7.460507246,2.909689922,71.34704918,3.713230769,2.085901639,30.66865546,2.2304,25120.47537,25409.44922,244.9210219,0.119256198,35.58489051,34.13348148,22.03694118,11.68647482,316.2090984,11067.68575,74.30992908,37.03080292,83.32758865,106.5664029,701.6187069,544.2052033,1347.105517,1030.394322,5090.695412,3772.704157,2621.368125,2.064273504,0.265306122
Ghana,2.054,11.432,3.732,0.456,0.698,0.744,0.338,0.144,1.03,0.605,1.0175,0.968,5.735,2.3925,2.5,1.4625,0.835,0.8475,1.015,1.415,1.02,0.5275,0.4775,2.765,0.5025,0.7575,0.855,0.305,10.22,0.6475,0.595,2.9975,0.5175,5887.2575,4100.87,19.2425,0.053333333,22.4625,18.79,4.6,3.5925,61.3225,3542.398,7.5425,6.09,17.09,18.82333333,348.34,57.965,851.71,222.655,557.1433333,6334.13,187.8775,23.3325,0.2
Gibraltar,14.41,78.08,8.41,3.9,3.6,2.74,1.62,1.86,1.31,1.92,2.8,1.96,9.61,7.73,11.41,2.75,1.83,2.08,2.03,1.64,1.3,1.13,0.63,7.21,1.54,1.95,3.96,1.68,12.01,4.56,2.4,12.01,1.33,32281.62,32431.77,109.22,0.2,47.22,70.04,16.52,10.21,867.52,11210.98,118.24,45.42,110.86,90.09,1641.3,1388.5,3071.33,2597.54,8924.75,6071.64,3260.69,4.22,1
Greece,10.92138889,40.90181818,6.809166667,3.81,4.239722222,3.033888889,1.768055556,0.541388889,1.349166667,1.038333333,1.868857143,3.264857143,9.162222222,7.278,9.829166667,1.655714286,1.739142857,1.238,1.676571429,1.015428571,0.937941176,0.868333333,0.784285714,6.234242424,1.578823529,2.296176471,4.847714286,1.215833333,35.64454545,3.61,1.002333333,12.33689655,2.175428571,21191.92419,20924.42806,201.6654286,0.404444444,33.53147059,38.730625,18.83458333,8.109428571,337.609697,6706.066333,72.63545455,31.2296875,72.74,87.79454545,468.1941935,370.2103226,755.586,654.6353846,2396.731071,1941.058,804.560303,4.377931034,0.25
Greenland,18.855,71.37,15.88,8.73,11.38,4.305,2.67,2.41,1.72,3.07,2.79,3.385,32.12,13.27,,3.84,4.33,3.49,4.89,3.21,2.79,5.59,1.4,27.79,2.895,2.79,11.66,2.79,77.66,3.91,5.45,6.98,0.77,33450.73,20820.22,384.09,0.11,188.55,22.66,4.19,14.665,,,126.47,25.14,195.54,195.4,977.68,673.77,2141.59,1699.31,2908.88,14080.48,4190.07,,0
Guadeloupe,8.83,31.16,8.83,5.45,6.23,2.18,2.16,1.36,1.25,3.12,2.08,3.12,15.06,5.19,18.18,3.64,1.56,2.6,3.12,2.6,2.8,1.04,0.44,7.79,2.6,2.6,,2.08,,,,,1.42,19215.89,23256.42,155.8,0.21,57.08,31.06,,12.46,,,,,,,830.96,727.09,1246.44,1142.57,,,2188.53,2,0
Guatemala,5.21,29.88,5.876,1.892,3.062,2.334,1.026,0.76,1.538,1.804,1.528,1.736,5.072,5.954,8.386,2.82,1.062,1.882,1.278,1.4,1.392,0.834,1.132,7.916,1.466,2.16,3.404,0.683333333,14.75,3.766,0.712,11.8925,0.97,17557.236,21295.382,69.546,0.176,48.004,40.61666667,26.46,6.51,263.06,6090.832,44.92,56.218,88.616,90.118,383.0033333,383.1333333,950.16,487.4075,1149.04,553.68,520.8275,7.972,0.2
Guinea,5,30,11,2.37,5,2,1.37,1.2,2.1,0.75,0.73,2.6,14,6.5,9.33,2.8,2,1.75,2.3,1.75,1.75,1.5,1,10.5,1,3.5,1.5,0.9,15,0.5,0.1,5,1,,,55,0.12,100,25.34,,3.49,755,7000,20,30,50,50,540.38,300,1820.34,866.67,363.49,400,800,,0
Guinea-Bissau,2.58,15.02,2.23,1,2,2.38,1.13,1.28,1.58,0.24,0.79,2.14,,2.77,5.54,2.18,1.66,0.99,2.38,0.75,0.79,0.79,0.79,5.54,0.87,1.03,1.58,,,0.4,0.79,6.33,1.05,,,15.83,0.18,,71.26,3.96,1.58,,,87.09,55.42,79.17,102.93,341.22,189.1,325.8,433.38,1583.48,1345.96,1001.27,,0
Guyana,5.49,49.92,7.16,1.91,2.39,3.49,1.16,0.72,4.57,1.41,1.425,4,6.33,6.78,6.41,4.945,1.985,3.085,3.7,1.725,1.13,1.91,1.51,19.105,1.41,2.31,2.39,0.57,34.16,2.39,3.105,9.31,1.06,15760.36,17193.12,59.17,0.14,46.325,29.25,15.12,6.685,79.6,1554.145,28.21,46.165,71.64,62.88,329,200.32,594.33,371.46,3470.47,1139.52,397.25,8.62,0.5
Haiti,12.6,61.8175,13.75,4.5,6.125,2.5775,1.855,2.25,2.084,1.566,2.93,2.676,3.576,11,19.39,2.2725,2.275,2.92,2.586,4.372,2.68,0.985,1,7.2,1.25,1.375,2.075,0.5,41.21,,,3.83,0.66,35000,45000,103.7,0.0875,128.68,64.77,20,5,100,6867.8,66.6975,32.91,103.3925,150,523.86,354.725,1344.395,775.265,2960.08,1689.75,802.71,13.5,0
Honduras,4.49,27.741,6.734444444,1.475,2.791,2.007,1.04,0.737,1.107,1.645,1.455,1.966,4.299,3.979,8.945555556,2.76,1.116,1.558,0.864,1.285,1.432,0.952,1.264,8.709,1.173,2.071,2.57,0.716,39.13333333,2.3,1.67875,5.83,1.106,23765.94333,22523.755,137.001,0.184444444,86.40181818,32.524,17.9,3.978571429,191.112,3932.328889,44.024,33.78222222,68.486,77.87666667,329.812,230.798,706.714,470.862,807.65,717.8733333,566.7566667,13.08,0.090909091
Hong Kong,7.68,64.02,5.51,6.4,6.4,5.08,1.17,1.05,3.1,2.28,2.01,3.4,24.25,9.29,23.46,4.5,2.45,3.65,3.02,2.6,2.66,1.57,1.6,19.21,1.83,2.76,7.94,1.54,64.02,3.46,1.22,12.8,2.76,33289.98,32079.43,199.27,0.09,22.78,72.22,9.29,12.8,766.2,18650.92,82.2,40.35,87.38,134.44,2284.16,1629.08,4591.17,3015.71,31454.11,20810.27,3030.37,2.53,1
Hungary,5.843333333,29.83785714,4.756585366,1.3185,1.58675,1.381707317,0.995714286,0.795714286,0.702727273,0.925238095,1.110232558,1.720888889,7.695714286,4.071333333,8.93195122,1.211555556,1.188666667,1.346744186,2.496666667,0.835348837,0.795116279,0.918139535,0.308,3.444090909,0.723255814,0.966829268,4.623658537,0.833414634,20.7,1.833902439,0.8565,11.62125,1.188863636,17115.74308,18707.22744,129.2572093,0.073809524,12.06837209,30.95518519,9.447647059,4.7085,193.6382857,3894.302069,51.91102564,25.205,63.45611111,63.69714286,303.1848276,238.2727586,509.642069,392.9489655,1726.407407,1325.182593,747.3294872,5.85195122,0.222222222
Iceland,15.52333333,84.82833333,11.325,7.316666667,5.84,3.843333333,2.07,1.825,1.28,3.148333333,2.823333333,4.996666667,11.01833333,14.76166667,21.70833333,2.196666667,2.19,2.33,3.325,1.985,1.036666667,2.216666667,1.836666667,16.59333333,2.963333333,2.635,10.27,2.813333333,57.665,5.33,1.823333333,56.15833333,1.931666667,26285.13,28986.99833,102.33,0.185,60.925,55.76166667,29.87,10.22166667,262.5966667,2684.411667,115.3416667,51.07333333,143.91,167.5016667,1254.033333,1054.106667,1858.035,1727.88,3870.365,2871.44,2925.145,5.03,0.166666667
India,2.303525641,10.4786875,3.861863354,1.889937107,3.283533333,1.407922078,0.394938272,0.177484663,0.649515152,0.437865854,0.657730061,0.91597561,5.082922078,3.01516129,5.613445946,1.850738255,0.616956522,1.00716129,0.498333333,0.356533333,0.408209877,0.47822695,0.341411043,7.794421769,1.781156463,3.030661765,3.892137931,0.30826087,8.743652174,0.749577465,0.226266667,1.258712121,1.266794872,12802.03569,20966.14873,31.8047651,0.011134752,8.449308176,16.67389706,8.072477064,2.95224359,46.84825503,1341.367391,25.57798701,28.24889655,42.33517241,30.09357616,112.5899275,76.44109489,257.5665926,167.7332117,1370.63789,652.0093204,432.5620661,8.927712418,0.19760479
Indonesia,1.62825,12.64454545,3.082,2.604324324,3.426756757,1.53,0.531,0.25975,1.180833333,1.104722222,0.806216216,1.414594595,7.265517241,3.212285714,7.450285714,2.316666667,1.164,1.481111111,0.917142857,1.076571429,1.912777778,0.742,0.431578947,16.54185185,2.141071429,3.053103448,1.937428571,0.346551724,11.28555556,0.586333333,0.425862069,2.870384615,0.7575,26137.42786,25490.48097,49.44029412,0.111875,31.36371429,23.35807692,8.357826087,3.224864865,79.574375,6295.027308,35.91783784,26.24647059,58.88862069,59.07742857,198.1378571,117.5346429,439.5904545,272.593913,1229.194091,621.325,276.8888462,9.0975,0.175
